CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,125,2023-07-17,Venda Deposito Bancario,3,0,150,6,64,0,,17:01,,,,,,0,,,,,,
1,126,2023-07-18,000001 - Consumidor,30,621,0,6,65,0,,17:03,,,,,,0,,,,,,
1,127,2023-07-18,Venda Deposito Bancario,3,0,621,6,65,0,,17:03,,,,,,0,,,,,,
1,128,2023-07-19,000001 - Consumidor,30,1141,0,6,66,0,,08:19,,,,,,0,,,,,,
1,129,2023-07-19,Venda Deposito Bancario,3,0,1141,6,66,0,,08:19,,,,,,0,,,,,,
1,130,2023-07-19,000001 - Consumidor,30,6927.73,0,6,67,0,,15:26,,,,,,0,,,,,,
1,131,2023-07-19,Venda Deposito Bancario,3,0,6927.73,6,67,0,,15:26,,,,,,0,,,,,,
1,132,2023-07-20,000001 - Consumidor,30,3685.51,0,8,68,0,,13:33,,,,,,0,,,,,,
1,133,2023-07-20,Venda Deposito Bancario,3,0,3685.51,8,68,0,,13:33,,,,,,0,,,,,,
1,134,2023-07-24,000001 - Consumidor,30,255.4,0,8,69,0,,13:35,,,,,,0,,,,,,
1,135,2023-07-24,Venda Deposito Bancario,3,0,255.4,8,69,0,,13:35,,,,,,0,,,,,,
1,136,2023-07-25,000001 - Consumidor,30,706.25,0,8,70,0,,09:48,,,,,,0,,,,,,
1,137,2023-07-25,Venda Deposito Bancario,3,0,706.25,8,70,0,,09:48,,,,,,0,,,,,,
1,138,2023-07-26,000001 - Consumidor,30,834.33,0,8,71,0,,16:55,,,,,,0,,,,,,
1,139,2023-07-26,Venda Deposito Bancario,3,0,834.33,8,71,0,,16:55,,,,,,0,,,,,,
1,140,2023-07-27,000001 - Consumidor,30,621,0,8,72,0,,13:48,,,,,,0,,,,,,
1,141,2023-07-27,Venda Deposito Bancario,3,0,621,8,72,0,,13:48,,,,,,0,,,,,,
1,142,2023-07-27,000001 - Consumidor,30,472,0,8,73,0,,13:52,,,,,,0,,,,,,
1,143,2023-07-27,Venda Deposito Bancario,3,0,472,8,73,0,,13:52,,,,,,0,,,,,,
1,144,2023-07-27,000001 - Consumidor,30,1336.67,0,8,74,0,,13:53,,,,,,0,,,,,,
1,145,2023-07-27,Venda Deposito Bancario,3,0,1336.67,8,74,0,,13:53,,,,,,0,,,,,,
1,146,2023-07-31,000001 - Consumidor,30,885.3,0,8,75,0,,14:21,,,,,,0,,,,,,
1,147,2023-07-31,Venda Deposito Bancario,3,0,885.3,8,75,0,,14:21,,,,,,0,,,,,,
1,148,2023-07-28,000001 - Consumidor,30,1293,0,8,76,0,,14:40,,,,,,0,,,,,,
1,149,2023-07-28,Venda Deposito Bancario,3,0,1293,8,76,0,,14:40,,,,,,0,,,,,,
1,150,2023-07-31,000001 - Consumidor,30,712.5,0,8,77,0,,09:58,,,,,,0,,,,,,
1,151,2023-07-31,Venda Deposito Bancario,3,0,712.5,8,77,0,,09:58,,,,,,0,,,,,,
1,152,2023-08-01,000001 - Consumidor,30,2199.8,0,8,78,0,,13:30,,,,,,0,,,,,,
1,153,2023-08-01,Venda Deposito Bancario,3,0,2199.8,8,78,0,,13:30,,,,,,0,,,,,,
1,154,2023-08-01,000001 - Consumidor,30,1800,0,8,79,0,,14:03,,,,,,0,,,,,,
1,155,2023-08-01,Venda Deposito Bancario,3,0,1800,8,79,0,,14:03,,,,,,0,,,,,,
1,156,2023-08-01,000001 - Consumidor,30,51,0,8,80,0,,14:04,,,,,,0,,,,,,
1,157,2023-08-01,Venda Deposito Bancario,3,0,51,8,80,0,,14:04,,,,,,0,,,,,,
1,158,2023-08-02,000001 - Consumidor,30,581.9,0,8,81,0,,14:07,,,,,,0,,,,,,
1,159,2023-08-02,Venda Deposito Bancario,3,0,581.9,8,81,0,,14:07,,,,,,0,,,,,,
1,160,2023-08-02,000001 - Consumidor,30,100,0,8,82,0,,14:07,,,,,,0,,,,,,
1,161,2023-08-02,Venda Deposito Bancario,3,0,100,8,82,0,,14:07,,,,,,0,,,,,,
1,162,2023-08-02,000001 - Consumidor,30,3106.62,0,8,83,0,,14:22,,,,,,0,,,,,,
1,163,2023-08-02,Venda Deposito Bancario,3,0,3106.62,8,83,0,,14:22,,,,,,0,,,,,,
1,164,2023-08-03,000001 - Consumidor,30,4041.33,0,8,84,0,,13:15,,,,,,0,,,,,,
1,165,2023-08-03,Venda Deposito Bancario,3,0,4041.33,8,84,0,,13:15,,,,,,0,,,,,,
1,166,2023-08-02,000001 - Consumidor,30,70,0,8,85,0,,13:19,,,,,,0,,,,,,
1,167,2023-08-02,Venda Deposito Bancario,3,0,70,8,85,0,,13:19,,,,,,0,,,,,,
1,168,2023-08-03,000001 - Consumidor,30,150,0,8,86,0,,16:52,,,,,,0,,,,,,
1,169,2023-08-03,Venda Deposito Bancario,3,0,150,8,86,0,,16:52,,,,,,0,,,,,,
