CODVENDA,CODITEM,CODPROD,QUANTIDADE,VALORUNIT,DESCRICAOMO,DEST,VALORCUSTO,CODTIPPROD,CODFUNC,COMISSAOPORCEN,PRECOCERTO,PESOPRODUTO,DATA,MES,VALORDESCONTO,DARBAIXA,ESTORNADO,BAIXADO,DELETADO,CODBAIXA,IDREMESSA,PRODMO,PRODMONTADO,IMPRESSO,GRADE,MOTIVODEL,IMPRECEITA,PRECOAPRAZO,OK_COZINHA,VALORTOTAL,VALTOTAL_PRECOCERTO,IAT,IPPT,DESC_PRODUTO,CODALIQUOTA,IT_DESCONTO,IT_ACRESCIMO,UNIDADE,INFOADICIONAL,BAIXARRECEITA,CFOP,TAB_TOTALIZADOR,COO,CCF,DESCTOTAL_SPED,COR,PPIS,PCOFINS,VPIS,VCOFINS,ACRESTOTAL_SPED,AUT_DELBD,QUANT_RESERVADA,REG_MD5,VAL_INCLUSAO,PRECOTABELA,CUSTOMEDIO,TOTAL_IMPOSTOS,NCM_PROD,ORIGEM_MERC_PROD,P_COMPRAPROD,PRODRESERVADO,IDSETOR,CUSTO_VARIAVEL,PERCCUSTO_VARIAVEL,ROMANEIO_ID,CODPROMOCAO,RESERV_ARETIRAR,BLOQ_COMISSAO,COMISSAO_PROD,VAZILHAME_OP,VAZILHAME_QUANTEMP,ICMS_ST,LOTE,AMBIENTE_ORC,ID_RESTRICAO,DEF_ENTREGA,PQUANT_DECIMAIS,BLOQ_DESCITEM,KIT_CODPROD
51,1,000004,1,1265.15,,,0.01,MO,0,0,1265.15,,2023-07-10,07/2023,0,1,0,1,0,76182,,0,0,,,,,1265.15,,1265.15,1265.15,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
51,2,000006,1,6053,,,0.01,MO,0,0,6053,,2023-07-10,07/2023,0,1,0,1,0,76182,,0,0,,,,,6053,,6053,6053,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
52,1,000004,1,15617.22,,,0.01,MO,0,0,15617.22,,2023-07-11,07/2023,0,1,0,1,0,108439,,0,0,,,,,15617.22,,15617.22,15617.22,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
52,2,000006,1,7409.98,,,0.01,MO,0,0,7409.98,,2023-07-11,07/2023,0,1,0,1,0,108439,,0,0,,,,,7409.98,,7409.98,7409.98,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
53,1,000006,1,1367,,,0.01,MO,0,0,1367,,2023-07-11,07/2023,0,1,0,1,0,212191,,0,0,,,,,1367,,1367,1367,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
54,1,000004,1,612.2,,,0.01,MO,0,0,612.2,,2023-07-12,07/2023,0,1,0,1,0,170408,,0,0,,,,,612.2,,612.2,612.2,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
55,1,000004,1,1938.68,,,0.01,MO,0,0,1938.68,,2023-07-13,07/2023,0,1,0,1,0,197032,,0,0,,,,,1938.68,,1938.68,1938.68,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
55,2,000006,1,3212.04,,,0.01,MO,0,0,3212.04,,2023-07-13,07/2023,0,1,0,1,0,197032,,0,0,,,,,3212.04,,3212.04,3212.04,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
56,1,000004,1,4612,,,0.01,MO,0,0,4612,,2023-07-13,07/2023,0,1,0,1,0,279621,,0,0,,,,,4612,,4612,4612,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
57,1,000004,1,40,,,0.01,MO,0,0,40,,2023-07-13,07/2023,0,1,0,1,0,129350,,0,0,,,,,40,,40,40,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
58,1,000004,1,1175,,,0.01,MO,0,0,1175,,2023-07-14,07/2023,0,1,0,1,0,95213,,0,0,,,,,1175,,1175,1175,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
